iter	Passed	Remaining
1121	270479	97150
1122	270745	96918
1123	270958	96667
1124	271168	96415
1125	271395	96169
1126	271620	95922
1127	271873	95685
1128	272092	95437
1129	272319	95191
1130	272569	94953
1131	272803	94710
1132	273053	94472
1133	273292	94230
1134	273517	93984
1135	273741	93737
1136	273983	93496
1137	274230	93257
1138	274471	93016
1139	274707	92774
1140	274911	92520
1141	275169	92285
1142	275403	92042
1143	275616	91791
1144	275836	91544
1145	276081	91304
1146	276325	91064
1147	276563	90822
1148	276807	90582
1149	277052	90343
1150	277292	90102
1151	277554	89867
1152	277782	89622
1153	278018	89380
1154	278253	89137
1155	278497	88897
1156	278721	88651
1157	278974	88414
1158	279220	88174
1159	279450	87930
1160	279696	87691
1161	279952	87455
1162	280209	87219
1163	280446	86976
1164	280684	86734
1165	280904	86487
1166	281091	86230
1167	281322	85986
1168	281556	85743
1169	281793	85501
1170	282003	85251
1171	282251	85012
1172	282500	84774
1173	282759	84538
1174	282973	84289
1175	283190	84042
1176	283424	83799
1177	283641	83551
1178	283848	83300
1179	284075	83055
1180	284325	82817
1181	284564	82576
1182	284806	82336
1183	285043	82094
1184	285257	81846
1185	285476	81599
1186	285697	81352
1187	285908	81103
1188	286152	80863
1189	286365	80615
1190	286578	80366
1191	286817	80125
1192	287063	79886
1193	287312	79648
1194	287553	79407
1195	287794	79167
1196	288037	78927
1197	288264	78683
1198	288503	78442
1199	288753	78204
1200	289024	77971
1201	289257	77729
1202	289473	77481
1203	289714	77241
1204	289957	77001
1205	290190	76758
1206	290451	76523
1207	290696	76283
1208	290929	76041
1209	291167	75799
1210	291386	75553
1211	291619	75311
1212	291851	75068
1213	292085	74825
1214	292323	74584
1215	292552	74341
1216	292792	74100
1217	293037	73860
1218	293285	73622
1219	293493	73373
1220	293735	73133
1221	293977	72892
1222	294208	72649
1223	294455	72410
1224	294725	72177
1225	294961	71935
1226	295219	71699
1227	295452	71457
1228	295696	71217
1229	295966	70983
1230	296203	70742
1231	296447	70502
1232	296685	70261
1233	296943	70024
1234	297155	69777
1235	297414	69540
1236	297658	69301
1237	297891	69058
1238	298117	68814
1239	298350	68572
1240	298583	68330
1241	298800	68084
1242	299051	67846
1243	299319	67611
1244	299542	67366
1245	299770	67123
1246	300007	66882
1247	300261	66644
1248	300498	66403
1249	300738	66162
1250	300958	65917
1251	301213	65679
1252	301452	65439
1253	301698	65199
1254	301920	64955
1255	302140	64710
1256	302359	64464
1257	302598	64224
1258	302838	63983
1259	303076	63742
1260	303333	63505
1261	303570	63263
1262	303793	63019
1263	304021	62776
1264	304287	62541
1265	304526	62300
1266	304769	62060
1267	304998	61817
1268	305238	61576
1269	305478	61336
1270	305717	61095
1271	305968	60856
1272	306207	60616
1273	306480	60381
1274	306691	60135
1275	306918	59892
1276	307161	59652
1277	307405	59412
1278	307627	59168
1279	307865	58927
1280	308113	58688
1281	308345	58446
1282	308578	58204
1283	308810	57962
1284	309038	57719
1285	309245	57472
1286	309458	57226
1287	309697	56986
1288	309930	56744
1289	310157	56501
1290	310403	56262
1291	310641	56021
1292	310872	55779
1293	311104	55537
1294	311324	55293
1295	311564	55052
1296	311826	54816
1297	312030	54569
1298	312288	54331
1299	312543	54094
1300	312763	53850
1301	312983	53606
1302	313218	53364
1303	313431	53119
1304	313681	52881
1305	313917	52640
1306	314131	52395
1307	314351	52151
1308	314590	51910
1309	314827	51670
1310	315057	51428
1311	315281	51185
1312	315527	50945
1313	315781	50707
1314	316029	50468
1315	316274	50228
1316	316518	49989
1317	316768	49750
1318	317006	49509
1319	317246	49269
1320	317459	49024
1321	317686	48782
1322	317912	48539
1323	318163	48301
1324	318415	48062
1325	318657	47822
1326	318900	47582
1327	319119	47339
1328	319361	47099
1329	319553	46851
1330	319794	46611
1331	320008	46367
1332	320244	46126
1333	320451	45881
1334	320673	45638
1335	320907	45397
1336	321153	45158
1337	321384	44917
1338	321616	44675
1339	321840	44433
1340	322074	44192
1341	322315	43952
